-4.058,9.31,6.47
-4.258,9.297,6.308
-4.456,9.279,6.122
-4.655,9.257,5.907
-4.853,9.232,5.663
-5.051,9.205,5.386
-5.248,9.174,5.082
-5.444,9.14,4.811
-5.64,9.1,4.576
-5.834,9.052,4.373
-6.024,8.993,4.197
-6.21,8.92,4.05
-6.389,8.832,3.936
-6.559,8.727,3.82
-6.716,8.604,3.701
-6.859,8.465,3.582
-6.983,8.309,3.474
-7.085,8.137,3.38
-7.161,7.953,3.311
-7.207,7.759,3.283
-7.217,7.56,3.278
-7.192,7.362,3.277
-7.13,7.172,3.275
-7.037,6.997,3.297
-6.915,6.839,3.354
-6.768,6.703,3.368
-6.601,6.594,3.366
-6.418,6.515,3.365
-6.225,6.465,3.441
-6.027,6.441,3.558
-5.828,6.439,3.719
-5.629,6.454,3.929
-5.431,6.48,4.188
-5.234,6.512,4.431
-5.038,6.548,4.574
-4.841,6.584,4.179
-4.644,6.617,3.802
-4.447,6.643,3.426
-4.248,6.658,3.137
-4.048,6.65,3.042
-3.853,6.608,2.957
-3.67,6.53,2.844
-3.506,6.417,2.74
-3.372,6.27,2.739
-3.279,6.094,2.738
-3.235,5.9,2.756
-3.236,5.7,2.844
-3.282,5.506,2.898
-3.366,5.326,2.978
-3.478,5.161,3.161
-3.611,5.012,3.385
-3.764,4.884,3.501
-3.934,4.779,3.523
-4.114,4.694,3.689
-4.3,4.621,3.964
-4.488,4.555,4.221
-4.678,4.494,4.463
-4.869,4.434,4.692
-5.059,4.374,4.91
-5.249,4.313,5.119
-5.438,4.248,4.995
-5.625,4.178,4.814
-5.808,4.098,4.701
-5.985,4.007,4.654
-6.155,3.902,4.652
-6.314,3.781,4.65
-6.462,3.647,4.665
-6.598,3.501,4.695
-6.721,3.345,4.733
-6.832,3.179,4.775
-6.929,3.004,4.816
-7.014,2.823,4.874
-7.086,2.637,4.951
-7.146,2.447,5.044
-7.195,2.254,5.149
-7.235,2.058,5.265
-7.265,1.861,5.392
-7.286,1.662,5.529
-7.3,1.463,5.677
-7.308,1.264,5.835
-7.309,1.064,6.005
-7.306,0.864,6.035
-7.299,0.665,6.065
-7.289,0.466,6.095
-7.277,0.266,6.125
-7.264,0.067,6.155
-7.25,-0.132,6.185
-7.236,-0.331,6.215
-7.224,-0.53,6.245
-7.212,-0.73,6.275
-7.201,-0.929,6.305
-7.19,-1.128,6.335
-7.179,-1.328,6.365
-7.168,-1.527,6.395
-7.158,-1.726,6.425
-7.148,-1.926,6.455
-7.137,-2.125,6.485
-7.127,-2.324,6.515
-7.116,-2.524,6.545
-7.106,-2.723,6.575
-7.095,-2.922,6.605
-7.083,-3.121,6.635
-7.071,-3.321,6.665
-7.058,-3.52,6.695
-7.043,-3.719,6.725
-7.027,-3.918,6.614
-7.008,-4.117,6.396
-6.987,-4.315,6.184
-6.962,-4.513,5.974
-6.933,-4.711,5.766
-6.899,-4.907,5.574
-6.859,-5.103,5.399
-6.813,-5.297,5.238
-6.758,-5.489,5.093
-6.694,-5.678,4.961
-6.62,-5.863,4.843
-6.535,-6.044,4.738
-6.437,-6.218,4.648
-6.328,-6.385,4.577
-6.205,-6.542,4.531
-6.069,-6.688,4.495
-5.92,-6.821,4.471
-5.76,-6.94,4.469
-5.588,-7.042,4.467
-5.408,-7.128,4.503
-5.222,-7.2,4.59
-5.031,-7.259,4.713
-4.838,-7.307,4.868
-4.642,-7.347,5.056
-4.445,-7.38,5.259
-4.248,-7.409,5.454
-4.05,-7.434,5.643
-3.852,-7.457,5.825
-3.653,-7.478,6.001
-3.454,-7.494,6.172
-3.255,-7.506,6.339
-3.055,-7.514,6.344
-2.856,-7.516,6.211
-2.656,-7.512,6.086
-2.457,-7.501,5.969
-2.258,-7.483,5.86
-2.06,-7.456,5.757
-1.864,-7.422,5.659
-1.669,-7.379,5.566
-1.476,-7.326,5.479
-1.287,-7.264,5.398
-1.101,-7.191,5.32
-0.919,-7.108,5.242
-0.743,-7.015,5.166
-0.572,-6.911,5.092
-0.408,-6.797,5.021
-0.253,-6.673,4.956
-0.106,-6.538,4.897
0.031,-6.392,4.847
0.157,-6.237,4.813
0.27,-6.073,4.8
0.369,-5.899,4.798
0.452,-5.718,4.796
0.521,-5.531,4.827
0.577,-5.339,4.895
0.62,-5.144,4.993
0.653,-4.947,5.117
0.676,-4.749,5.265
0.692,-4.55,5.433
0.701,-4.351,5.611
0.704,-4.151,5.794
0.702,-3.952,5.971
0.696,-3.752,6.143
0.688,-3.553,6.311
0.677,-3.353,6.473
0.665,-3.154,6.632
0.654,-2.955,6.787
0.642,-2.755,6.938
0.632,-2.556,7.086
0.622,-2.357,7.23
0.613,-2.157,7.372
0.604,-1.958,7.511
0.596,-1.758,7.647
0.589,-1.559,7.781
0.582,-1.359,7.912
0.577,-1.16,8.042
0.572,-0.96,8.168
0.567,-0.761,8.293
0.563,-0.561,8.416
0.56,-0.362,8.5
0.558,-0.162,8.5
0.556,0.038,8.5
0.555,0.237,8.5
0.553,0.437,8.5
0.552,0.636,8.5
0.551,0.836,8.5
0.55,1.036,8.5
0.549,1.235,8.5
0.547,1.435,8.5
0.545,1.634,8.5
0.543,1.834,8.5
0.54,2.034,8.5
0.536,2.233,8.5
0.531,2.433,8.5
0.525,2.632,8.5
0.518,2.832,8.5
0.509,3.031,8.5
0.5,3.231,8.5
0.489,3.43,8.5
0.476,3.629,8.5
0.462,3.828,8.5
0.447,4.027,8.5
0.43,4.226,8.387
0.412,4.425,8.19
0.394,4.624,7.98
0.374,4.822,7.758
0.354,5.021,7.524
0.333,5.219,7.275
0.312,5.418,7.012
0.29,5.616,6.734
0.268,5.815,6.439
0.245,6.013,6.125
0.223,6.211,5.801
0.199,6.41,5.526
0.173,6.608,5.307
0.141,6.805,5.139
0.1,7,5.024
0.049,7.193,4.968
-0.016,7.382,4.966
-0.096,7.565,4.966
-0.189,7.741,4.964
-0.297,7.909,4.975
-0.417,8.068,4.995
-0.548,8.219,5.021
-0.69,8.359,5.049
-0.842,8.488,5.082
-1.002,8.608,5.128
-1.169,8.716,5.189
-1.343,8.815,5.26
-1.522,8.904,5.34
-1.705,8.983,5.428
-1.892,9.053,5.522
-2.082,9.114,5.621
-2.275,9.166,5.723
-2.469,9.21,5.826
-2.665,9.247,5.931
-2.863,9.276,6.037
-3.061,9.297,6.145
-3.26,9.312,6.254
-3.46,9.32,6.364
-3.659,9.323,6.476
-3.859,9.319,6.594
